X,Y
19.289,-0.584
19.289,-0.611
19.289,-0.407
19.289,-0.394
19.302,-0.529
19.302,-0.516
19.302,-0.394
19.302,-0.38
19.316,-0.543
19.316,-0.529
19.316,-0.38
19.316,-0.367
19.33,-0.557
19.33,-0.543
19.33,-0.367
19.33,-0.353
19.343,-0.57
19.343,-0.557
19.343,-0.353
19.343,-0.339
19.357,-0.339
19.357,-0.326
19.37,-0.584
19.37,-0.57
19.384,-0.597
19.384,-0.584
19.397,-0.611
19.397,-0.597
19.52,-0.597
19.52,-0.611
19.615,-0.584
19.615,-0.597
19.615,-0.326
19.615,-0.312
19.628,-0.57
19.628,-0.584
19.642,-0.557
19.642,-0.57
19.655,-0.529
19.655,-0.557
19.669,-0.502
19.669,-0.529
19.682,-0.489
19.682,-0.502
19.682,-0.312
19.682,-0.285
19.696,-0.475
19.696,-0.489
19.696,-0.285
19.696,-0.258
19.71,-0.462
19.71,-0.475
19.71,-0.258
19.71,-0.231
19.723,-0.448
19.723,-0.462
19.723,-0.231
19.723,-0.19
19.737,-0.462
19.737,-0.448
19.737,-0.19
19.737,-0.163
19.75,-0.475
19.75,-0.462
19.75,-0.163
19.75,-0.122
19.764,-0.122
19.764,-0.095
19.777,-0.095
19.777,-0.068
19.791,-0.489
19.791,-0.475
19.791,-0.068
19.791,-0.054
19.805,-0.502
19.805,-0.489
19.805,-0.054
19.805,-0.041
19.832,-0.041
19.832,-0.027
19.845,-0.516
19.845,-0.502
19.859,-0.529
19.859,-0.516
19.872,-0.543
19.872,-0.529
19.886,-0.557
19.886,-0.543
19.886,-0.027
19.886,-0.014
19.927,-0.014
19.927,0
19.981,-0.57
19.981,-0.557
19.995,0
19.995,-0.014
20.008,-0.584
20.008,-0.57
20.022,-0.611
20.022,-0.584
20.035,-0.624
20.035,-0.611
20.063,-0.638
20.063,-0.624
20.103,-0.014
20.103,-0.027
20.117,-0.027
20.117,-0.041
20.13,-0.041
20.13,-0.054
20.28,-0.054
20.28,-0.068
20.293,-0.068
20.293,-0.081
20.307,-0.081
20.307,-0.095
20.32,-0.095
20.32,-0.109
20.334,-0.624
20.334,-0.638
20.334,-0.109
20.334,-0.122
20.348,-0.611
20.348,-0.624
20.348,-0.122
20.348,-0.136
20.361,-0.624
20.361,-0.611
20.361,-0.136
