x_val,y_val
3.37,0.6708
3.37,0.6548
3.37,1.661
3.37,1.693
3.3859,3.5456
3.3859,3.5137
3.3859,3.4019
3.3859,3.4338
3.3859,1.7728
3.3859,1.7409
3.3859,1.6291
3.3859,1.661
3.4019,3.5137
3.4019,3.4818
3.4019,3.37
3.4019,3.4019
3.4019,1.7409
3.4019,1.7089
3.4019,1.5971
3.4019,1.6291
3.4179,3.4818
3.4179,3.4498
3.4179,3.338
3.4179,3.37
3.4179,1.7089
3.4179,1.677
3.4179,0.5909
3.4179,0.6069
3.4179,1.5812
3.4179,1.5971
3.4338,3.4498
3.4338,3.4179
3.4338,3.322
3.4338,3.338
3.4338,1.677
3.4338,1.645
3.4338,0.6548
3.4338,0.6388
3.4338,1.5492
3.4338,1.5812
3.4498,3.4179
3.4498,3.3859
3.4498,3.2901
3.4498,3.322
3.4498,1.645
3.4498,1.6131
3.4498,1.5173
3.4498,1.5492
3.4658,3.3859
3.4658,3.354
3.4658,3.2582
3.4658,3.2901
3.4658,1.6131
3.4658,1.5812
3.4658,0.575
3.4658,0.5909
3.4658,1.4853
3.4658,1.5173
3.4818,3.354
3.4818,3.322
3.4818,3.2262
3.4818,3.2582
3.4818,1.5812
3.4818,1.5492
3.4818,0.6388
3.4818,0.6229
3.4818,1.4534
3.4818,1.4853
3.4977,3.322
3.4977,3.2901
3.4977,3.1943
3.4977,3.2262
3.4977,1.5492
3.4977,1.5173
3.4977,1.4214
3.4977,1.4534
3.5137,3.2901
3.5137,3.2582
3.5137,3.1623
3.5137,3.1943
3.5137,1.5173
3.5137,1.4853
3.5137,0.559
3.5137,0.575
3.5137,0.6229
3.5137,0.6069
3.5137,1.3895
3.5137,1.4214
3.5297,3.2582
3.5297,3.2262
3.5297,3.1304
3.5297,3.1623
3.5297,1.4853
3.5297,1.4534
3.5297,1.3576
3.5297,1.3895
3.5456,3.2262
3.5456,3.2102
3.5456,3.0984
3.5456,3.1304
3.5456,1.4534
3.5456,1.4214
3.5456,0.543
3.5456,0.559
3.5456,1.3256
3.5456,1.3576
3.5616,3.2102
3.5616,3.1783
3.5616,3.0665
3.5616,3.0984
3.5616,1.4214
3.5616,1.3895
3.5616,0.6069
3.5616,0.5909
3.5616,1.2937
3.5616,1.3256
3.5776,3.1783
3.5776,3.1464
3.5776,3.0346
3.5776,3.0665
3.5776,1.3895
3.5776,1.3576
3.5776,1.2617
3.5776,1.2937
3.5936,3.1464
3.5936,3.1144
3.5936,3.0026
3.5936,3.0346
3.5936,1.3576
3.5936,1.3416
3.5936,0.527
3.5936,0.543
3.5936,0.5909
3.5936,0.575
3.5936,1.2298
3.5936,1.2617
3.6095,3.1144
3.6095,3.0825
3.6095,2.9707
3.6095,3.0026
3.6095,1.3416
3.6095,1.3096
3.6095,1.1978
3.6095,1.2298
3.6255,3.0825
3.6255,3.0505
3.6255,2.9387
3.6255,2.9707
3.6255,1.3096
3.6255,1.2777
3.6255,0.5111
3.6255,0.527
3.6255,1.1659
3.6255,1.1978
3.6415,3.0505
3.6415,3.0186
3.6415,2.9068
3.6415,2.9387
3.6415,1.2777
3.6415,1.2458
3.6415,0.575
3.6415,0.559
3.6415,1.134
3.6415,1.1659
3.6574,3.0186
3.6574,2.9866
3.6574,2.8908
3.6574,2.9068
3.6574,1.2458
3.6574,1.2138
3.6574,1.102
3.6574,1.134
3.6734,2.9866
3.6734,2.9547
3.6734,2.8589
3.6734,2.8908
3.6734,1.2138
3.6734,1.1819
3.6734,0.4951
3.6734,0.5111
3.6734,0.559
3.6734,0.543
3.6734,1.0701
3.6734,1.102
3.6894,2.9547
3.6894,2.9228
3.6894,2.8269
3.6894,2.8589
3.6894,1.1819
3.6894,1.1499
3.6894,1.0381
3.6894,1.0701
3.7054,2.9228
3.7054,2.8908
3.7054,2.795
3.7054,2.8269
3.7054,1.1499
3.7054,1.118
3.7054,1.0062
3.7054,1.0381
3.7213,2.8908
3.7213,2.8589
3.7213,2.763
3.7213,2.795
3.7213,1.118
3.7213,1.086
3.7213,0.4791
3.7213,0.4951
3.7213,0.543
3.7213,0.527
3.7213,0.9742
3.7213,1.0062
3.7373,2.8589
3.7373,2.8269
3.7373,2.7311
3.7373,2.763
3.7373,1.086
3.7373,1.0541
3.7373,0.9423
3.7373,0.9742
3.7533,2.8269
3.7533,2.795
3.7533,2.6992
3.7533,2.7311
3.7533,1.0541
3.7533,1.0222
3.7533,0.9104
3.7533,0.9423
3.7692,2.795
3.7692,2.779
3.7692,2.6672
3.7692,2.6992
3.7692,1.0222
3.7692,0.9902
3.7692,0.4632
3.7692,0.4791
3.7692,0.8944
3.7692,0.9104
3.7852,2.779
3.7852,2.7471
3.7852,2.6353
3.7852,2.6672
3.7852,0.9902
3.7852,0.9583
3.7852,0.527
3.7852,0.5111
3.7852,0.8624
3.7852,0.8944
3.8012,2.7471
3.8012,2.7151
3.8012,2.6033
3.8012,2.6353
3.8012,0.9583
3.8012,0.9263
3.8012,0.8305
3.8012,0.8624
3.8172,2.7151
3.8172,2.6832
3.8172,2.5714
3.8172,2.6033
3.8172,0.9263
3.8172,0.8944
3.8172,0.4472
3.8172,0.4632
3.8172,0.5111
3.8172,0.4951
3.8172,0.7986
3.8172,0.8305
3.8331,2.6832
3.8331,2.6512
3.8331,2.5394
3.8331,2.5714
3.8331,0.8944
3.8331,0.8624
3.8331,0.4312
3.8331,0.4472
3.8331,0.7506
3.8331,0.7986
3.8491,2.6512
3.8491,2.6193
3.8491,2.5075
3.8491,2.5394
3.8491,0.8624
3.8491,0.8305
3.8491,0.4951
3.8491,0.4791
3.8491,0.7187
3.8491,0.7506
3.8651,2.6193
3.8651,2.5874
3.8651,2.4915
3.8651,2.5075
3.8651,0.8305
3.8651,0.7986
3.8651,0.4152
3.8651,0.4312
3.8651,0.6868
3.8651,0.7187
3.881,2.5874
3.881,2.5554
3.881,2.4596
3.881,2.4915
3.881,0.7986
3.881,0.7666
3.881,0.3993
3.881,0.4152
3.881,0.4791
3.881,0.4632
3.881,0.6548
3.881,0.6868
3.897,2.5554
3.897,2.5235
3.897,2.4276
3.897,2.4596
3.897,0.7666
3.897,0.7347
3.897,0.4632
3.897,0.4472
3.897,0.6229
3.897,0.6548
3.913,2.5235
3.913,2.4915
3.913,2.3957
3.913,2.4276
3.913,0.7347
3.913,0.7027
3.913,0.3833
3.913,0.3993
3.913,0.5909
3.913,0.6229
3.929,2.4915
3.929,2.4596
3.929,2.3638
3.929,2.3957
3.929,0.7027
3.929,0.6708
3.929,0.3673
3.929,0.3833
3.929,0.4472
3.929,0.4312
3.929,0.543
